cik,filingdate,complexity,log_netfilesize,json_complexity_score
1750,20160713,0.48523462,12.497678,0.3519547289603533
1750,20170712,0.48742798,12.500134,0.3407827241094809
1750,20180711,0.41066521,12.484045,0.2774160674857046
1750,20190718,0.27070284,12.865663,0.2401053365347378
1750,20200721,0.24922507,12.758125,0.2095800823169962
1800,20160219,0.56328201,12.764098,0.3579098067287043
1800,20170217,0.26456261,14.026722,0.3559439749971061
1800,20180216,0.28743842,13.658704,0.3104442309113756
1800,20190222,0.39300573,13.378643,0.3248599041663282
1800,20200221,0.39876673,12.979317,0.3179620676831536
1800,20210219,0.22215454,13.914834,0.3161650039520625
2034,20160826,0.49283257,12.846268,0.3406307409675444
2034,20170825,0.48917109,12.933428,0.3358992302309307
2034,20180928,0.53240347,13.107134,0.3642481208809865
2098,20160311,0.22285897,11.934841,0.1792382374906646
2098,20170310,0.30889207,11.970881,0.291583830351226
2098,20180315,0.3215951,12.179744,0.269911923477602
2098,20190315,0.30448219,12.082673,0.2525113904594609
2098,20200313,0.36686173,12.048354,0.2675968844077029
2098,20210331,0.17948717,12.071587,0.1866460064797858
2178,20160311,0.43103448,12.373192,0.3533434650455927
2178,20170331,0.46145228,12.370035,0.3926958570587081
2178,20180312,0.58759511,12.924722,0.3429331280400322
2178,20200306,0.41393954,12.28686,0.3550145809560036
2178,20210305,0.53112149,12.998212,0.3326247342753533
2186,20160302,0.29792693,12.120477,0.2450597007143229
2186,20170301,0.30487803,12.170088,0.2267775356841122
2186,20180306,0.3244718,12.243826,0.2352859762637971
2186,20190227,0.33793569,12.677582,0.2468508367517334
2186,20200304,0.36721894,12.440646,0.2685215140731155
2186,20210303,0.38569319,12.433953,0.2940332759609868
2488,20160218,0.49946731,13.547932,0.5106164131952098
2488,20170221,0.48812529,13.612779,0.4249030112691668
2488,20180227,0.51429731,13.727151,0.4950737708935836
2488,20190208,0.50482613,13.313815,0.4651249325568847
2488,20200204,0.5245139,12.750415,0.4429537541697807
2488,20210129,0.37750378,13.046631,0.4164844151151513
2969,20161121,0.81276184,13.131589,0.6441812168294747
2969,20171116,0.69546658,13.291726,0.5550019164430816
2969,20181120,0.64250892,12.995284,0.5277715481797114
2969,20191126,0.73985475,12.789453,0.5603708289678382
2969,20201119,0.73431504,12.822824,0.5168507504956104
2969,20211118,0.38493928,13.552324,0.3555418148090895
3116,20160510,0.33207169,13.840809,0.22978138556028
3116,20170301,0.4559032,12.783758,0.2904162633107454
3116,20180228,0.38138452,13.093624,0.2891459074733096
3116,20190301,0.49965474,12.885567,0.3152487819933423
3116,20200226,0.58792424,13.112447,0.3638146759676679
3197,20170314,0.36928821,12.865482,0.1804043545878693
3197,20180309,0.40588817,12.934561,0.3012618568059357
3197,20190307,0.46383041,12.726543,0.3779595583272589
3197,20200304,0.48956847,12.626439,0.405385115860067
3197,20210303,0.457165,12.498395,0.3858054165552542
3453,20160226,0.3222537,12.67065,0.1940064393626682
3453,20170224,0.15570566,13.403772,0.2052536192327008
3453,20180223,0.15148927,13.386036,0.1661964209793993
3453,20190304,0.30912933,12.807674,0.2145829720825385
3453,20200228,0.35106,12.543295,0.2138042056544923
3453,20210226,0.15887319,13.308406,0.1969524204415881
3499,20160216,0.30920336,12.298501,0.1765185118131619
3499,20170213,0.34342134,12.316021,0.2387036040882194
3499,20180212,0.33458382,12.373357,0.1279772484891574
3499,20190211,0.28563505,14.150576,0.1995472956873957
3499,20200218,0.27152944,12.484174,0.2068435671650612
3499,20210216,0.26543391,12.425782,0.2144936417956182
3545,20161206,0.34887484,12.763755,0.2696078431372549
3545,20171211,0.31435645,12.752531,0.2239239211566638
3545,20181206,0.35510907,12.817574,0.2501755617977528
3545,20191205,0.41449553,12.865792,0.3060343700138631
3545,20201208,0.2760579,12.843261,0.2888781896966779
3545,20211207,0.21275397,13.15519,0.2037330479698722
3570,20170224,0.84135234,13.686554,0.6552874239748872
4127,20161122,0.33711579,12.756651,0.2562811770628346
4127,20171113,0.34708923,12.680245,0.2968555303085831
4127,20191114,0.39180019,12.300296,0.3446601941747573
4127,20211124,0.385432,12.334369,0.2376676877574733
4187,20160325,0.39154267,12.796775,0.2263467632412856
4187,20170331,0.22548856,12.523581,0.17983365387017
4187,20180326,0.21500508,12.228915,0.1820792044539374
4187,20190313,0.30148813,12.689427,0.1678486005622928
4281,20170228,0.44569591,13.77339,0.5323608316566063
4281,20190221,0.55974448,13.330276,0.4897399480875654
4281,20210216,0.42353934,13.360721,0.3982288162396849
4447,20170223,0.5896548,12.945908,0.352493630684396
4447,20180221,0.64397782,12.962929,0.4844512520927582
4447,20190221,0.62488014,12.958429,0.3589504289457625
4447,20200220,0.54092193,12.909719,0.4881917518505463
4447,20210301,0.54079241,12.861526,0.3244755244755244
4457,20160525,0.32809916,13.769485,0.3284881333661821
4457,20170524,0.44454098,13.214102,0.3077767540334438
4457,20180530,0.26172861,13.59025,0.280040733197556
4457,20190529,0.53952575,12.866857,0.3020979020979021
4457,20200527,0.50783116,12.664456,0.3121164299491495
4457,20210526,0.53336167,12.599401,0.3184713375796179
4962,20160219,0.72792739,13.678547,0.4216875881424801
4962,20170217,0.64612097,13.675232,0.3684241143278199
4962,20180216,0.75364548,13.394867,0.5626761804087386
4962,20190213,0.78598595,13.324218,0.6055535636030438
4962,20200213,0.75360566,13.144855,0.4993591758759945
4962,20210212,0.66556263,13.142758,0.309570139748806
4977,20160225,1.135443,13.390497,0.5163230551831588
4977,20170224,1.1369754,13.361679,0.8345047638173014
4977,20190225,0.86536092,13.20918,0.8659672315949938
4977,20200221,0.74564362,13.410271,0.8088662465924833
4977,20210223,0.86219174,13.213132,0.7142783308007981
5272,20160219,0.62363183,14.083844,0.4950236788258548
5272,20170223,0.62171155,14.049676,0.487772881497427
5272,20180216,0.65270132,14.031596,0.5185070466160756
5272,20190215,0.66494942,14.054475,0.5171381393914101
5272,20200221,0.5234496,13.949954,0.4896577700677457
5272,20210219,0.45496732,14.19913,0.5032878234554782
5513,20160224,0.65933061,13.441476,0.2659617863494705
5513,20170222,0.63281494,13.547078,0.2360222385398091
5513,20180221,0.57313627,13.707256,0.4677728591361259
5513,20190219,0.65098774,13.764627,0.5255943854152711
5513,20200218,0.57454646,13.536182,0.506477581702831
5513,20210217,0.5284307,13.589667,0.4351112291381529
5768,20160524,0.4025566,12.305614,0.3554012728324655
5981,20180314,0.33086362,12.541455,0.2300333828933711
5981,20190312,0.38052163,12.597658,0.2825687095140351
5981,20200310,0.42582527,12.67161,0.3321464633044587
5981,20210331,0.3950744,12.585241,0.3392609121337007
6176,20160315,0.6380263,12.491736,0.4551443286621153
6176,20170316,0.5044806,12.780963,0.4277201662137626
6176,20180316,0.5729441,12.673072,0.4301951727573246
6176,20190318,0.44487602,12.740048,0.4169014084507042
6176,20200316,0.49127066,12.597469,0.3322709703668542
6176,20210326,0.54918385,12.634271,0.4306482126854525
6201,20170222,0.99769223,14.657472,0.409653133896069
6201,20190225,0.54580182,13.642788,0.4222723240685984
6201,20210217,0.3525539,15.10536,0.5359373106170393
6207,20160729,0.30623919,12.261128,0.1905306277984186
6207,20170718,0.26390931,12.088161,0.1546288906624102
6207,20180720,0.24176103,12.112624,0.1512490241998438
6207,20190726,0.26510128,12.009297,0.2001044022968505
6207,20210727,0.32744756,12.146254,0.2874182654307681
6281,20211203,0.39052683,13.38121,0.4075818131455027
6284,20160927,0.52736986,12.770571,0.3515121261283747
6284,20170926,0.46789968,12.860068,0.3251231527093596
6845,20160425,0.35087717,12.167223,0.2218501465048137
6845,20170428,0.35640281,12.218994,0.2419144739290632
6845,20180430,0.49061495,12.448235,0.2673626583487172
6845,20190426,0.3441931,12.851759,0.1871880199667221
6845,20200424,0.38581598,12.312831,0.2937449602580348
6845,20210422,0.37211773,12.34873,0.2753224170410085
6885,20160330,0.28902727,12.384219,0.2298997381697426
6885,20180410,0.28164795,12.49929,0.2237068835212672
6885,20190405,0.23993097,12.557127,0.229503007280785
6951,20161215,0.7097888,12.764813,0.5046554464939063
6951,20171215,0.71733123,12.730745,0.5089058524173028
6951,20181213,0.65537423,12.719908,0.4262295081967213
6951,20191213,0.50605929,12.768781,0.3926970078832459
6951,20201211,0.64299321,12.622025,0.4839479244768591
6951,20211217,0.64090312,12.596898,0.5162800302884285
6955,20161028,0.62570328,12.615878,0.5480790102018667
6955,20171026,0.49838206,12.95706,0.431569999346106
6955,20181029,0.4720313,13.009829,0.4351366481754796
6955,20201026,0.42170361,12.738898,0.4185506537944519
6955,20211025,0.48682472,12.478566,0.4781077000503271
7039,20160311,0.35573027,12.678655,0.2493711976266741
7039,20170316,0.36834121,12.740016,0.2130033471954559
7039,20180312,0.33685207,12.817383,0.2618847707008916
7039,20190315,0.39084968,13.032487,0.2907197978660253
7039,20200313,0.37128192,12.844645,0.2817126530938442
7039,20210309,0.358197,12.477877,0.2725111613613962
7084,20160219,0.74559504,13.128876,0.7661089945337088
7084,20170217,0.88987768,12.958818,0.6952491309385863
7084,20180216,0.88954175,12.920986,0.6749480809168525
7084,20190219,0.92364281,12.934447,0.7054280834632806
7084,20200218,0.7977736,12.864812,0.7132072472981564
